"R0",,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
193,2.5972,15.5735,-411.578,0.00694899,-9.95991e-05,0.00221925,0.00737673,0.000188529,0.000193262,0.00097663
194,2.5972,15.5735,-411.578,0.00615697,0.000230691,0.0017546,0.0065917,0.00019002,0.000195228,0.000984392
195,2.5972,15.5735,-411.578,0.00571852,9.36966e-05,0.0017207,0.00610357,0.000190283,0.000195366,0.000985802
196,2.5972,15.5735,-411.578,0.00538254,-7.21634e-05,0.00226315,0.00587871,0.000193424,0.000198689,0.00100195
197,2.59726,15.5735,-411.578,0.00527863,-0.000154279,0.00250489,0.00592178,0.000190276,0.000195162,0.000985559
198,2.59726,15.5735,-411.578,0.0054674,-0.000355418,0.00329393,0.00645013,0.000188049,0.000193667,0.000974172
199,2.59726,15.5735,-411.578,0.00574798,-0.000397426,0.00290915,0.00654376,0.000191053,0.000196161,0.000989523
200,2.59726,15.5735,-411.578,0.00576711,-0.000385638,0.00361614,0.00687989,0.00018897,0.000194061,0.000978776
201,2.59726,15.5735,-411.578,0.00535083,-0.000682256,0.00324801,0.00638456,0.00018432,0.000189531,0.000954687
202,2.59726,15.5735,-411.578,0.00485118,-0.000607019,0.00440492,0.00665185,0.000186863,0.000192361,0.000968025
203,2.59726,15.5735,-411.578,0.00397233,-0.000595327,0.00430604,0.00595201,0.000188117,0.000193436,0.000974474
204,2.59726,15.5735,-411.578,0.003234,-0.000580809,0.00521087,0.00622591,0.000193786,0.000198698,0.00100375
205,2.59726,15.5735,-411.578,0.00287335,-0.000622834,0.00505485,0.00589308,0.000191938,0.000196954,0.000994044
206,2.59726,15.5735,-411.578,0.00292386,-0.000932837,0.00455379,0.0055887,0.000189724,0.000195072,0.000982817
207,2.59726,15.5735,-411.578,0.00281517,-0.000827721,0.00548025,0.00630238,0.000192524,0.000198031,0.000997408
208,2.59726,15.5735,-411.578,0.00289923,-0.00106808,0.00587007,0.00665482,0.000187195,0.000192795,0.000969743
209,2.59726,15.5735,-411.578,0.00293839,-0.00120303,0.00598624,0.00682186,0.000192296,0.000197579,0.000996178
210,2.59726,15.5735,-411.578,0.00261564,-0.00139994,0.0068494,0.00751519,0.000186799,0.000191757,0.000967505
211,2.59726,15.5735,-411.578,0.00171885,-0.00165198,0.00646068,0.0069161,0.000187382,0.000192397,0.000970768
212,2.59726,15.5735,-411.578,0.000718604,-0.00165257,0.0075485,0.00776823,0.000188977,0.000194297,0.000978885
213,2.59726,15.5735,-411.578,0.000210309,-0.00169528,0.00647786,0.00672892,0.000188129,0.00019329,0.000974526
214,2.59726,15.5735,-411.578,-0.000268927,-0.00177967,0.00738784,0.00762692,0.000187038,0.000192217,0.00096893
215,2.59726,15.5735,-411.578,-0.000498929,-0.00201033,0.00798563,0.00826477,0.000188696,0.000194123,0.000977485
216,2.59726,15.5735,-411.578,-0.000355278,-0.00217875,0.00818854,0.00849045,0.000188233,0.000193459,0.000974919
