"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
11,95;11,95;1;1;1;1;0;0;-18623,9983266171;-2,24836364388466;
12;12;1;1;1;1;0;0;-18626,6751711515;-2,26244524121284;
12,05;12,05;1;1;1;1;0;0;-18629,3538038252;-2,27561578154564;
12,1;12,1;1;1;1;1;0;0;-18632,0306483596;-2,28933662176132;
12,15;12,15;1;1;1;1;0;0;-18634,7092810333;-2,30297118425369;
12,2;12,2;1;1;1;1;0;0;-18637,387913707;-2,31649249792099;
12,25;12,25;1;1;1;1;0;0;-18640,0647582414;-2,33037203550339;
12,3;12,3;1;1;1;1;0;0;-18642,7433909151;-2,34385952353477;
12,35;12,35;1;1;1;1;0;0;-18645,0590313106;-2,35787957906723;
12,4;12,4;1;1;1;1;0;0;-18646,8596875873;-2,37099170684814;
12,45;12,45;1;1;1;1;0;0;-18648,6442506102;-2,38527685403824;
12,5;12,5;1;1;1;1;0;0;-18651,0707556424;-2,39896446466446;
12,55;12,55;1;1;1;1;0;0;-18653,7493883161;-2,4122628569603;
12,6;12,6;1;1;1;1;0;0;-18656,4262328505;-2,42660716176033;
12,65;12,65;1;1;1;1;0;0;-18659,1048655242;-2,43976697325706;
12,7;12,7;1;1;1;1;0;0;-18661,7834981979;-2,45385020971298;
12,75;12,75;1;1;1;1;0;0;-18664,4603427323;-2,46726989746094;
12,8;12,8;1;1;1;1;0;0;-18667,138975406;-2,48049810528755;
12,85;12,85;1;1;1;1;0;0;-18669,8158199404;-2,49443471431732;
12,9;12,9;1;1;1;1;0;0;-18672,4944526141;-2,5090828537941;
12,95;12,95;1;1;1;1;0;0;-18675,1730852878;-2,52226978540421;
13;13;1;1;1;1;0;0;-18677,8499298222;-2,53630846738815;
13,05;13,05;1;1;1;1;0;0;-18680,5285624959;-2,55026757717133;
13,1;13,1;1;1;1;1;0;0;-18683,2054070303;-2,56360441446304;
13,15;13,15;1;1;1;1;0;0;-18685,884039704;-2,57726967334747;
13,2;13,2;1;1;1;1;0;0;-18688,5626723777;-2,59136319160461;
13,25;13,25;1;1;1;1;0;0;-18691,2395169121;-2,60484367609024;
13,3;13,3;1;1;1;1;0;0;-18693,9181495858;-2,61835873126984;
13,35;13,35;1;1;1;1;0;0;-18696,5949941203;-2,63266205787659;
13,4;13,4;1;1;1;1;0;0;-18699,273626794;-2,64599680900574;
13,45;13,45;1;1;1;1;0;0;-18701,9522594677;-2,66085416078568;
13,5;13,5;1;1;1;1;0;0;-18704,6291040021;-2,67437785863876;
13,55;13,55;1;1;1;1;0;0;-18707,3077366758;-2,68785834312439;
13,6;13,6;1;1;1;1;0;0;-18709,9845812102;-2,70239859819412;
13,65;13,65;1;1;1;1;0;0;-18712,6632138839;-2,71599024534225;
13,7;13,7;1;1;1;1;0;0;-18715,3418465576;-2,7293872833252;
13,75;13,75;1;1;1;1;0;0;-18718,018691092;-2,74398118257523;
13,8;13,8;1;1;1;1;0;0;-18720,6973237657;-2,75772422552109;
13,85;13,85;1;1;1;1;0;0;-18723,3741683001;-2,77201265096664;
13,9;13,9;1;1;1;1;0;0;-18726,0528009738;-2,78581231832504;
13,95;13,95;1;1;1;1;0;0;-18728,7296455082;-2,79970228672028;
14;14;1;1;1;1;0;0;-18731,4082781819;-2,81401306390762;
14,05;14,05;1;1;1;1;0;0;-18734,0869108556;-2,82805681228638;
14,1;14,1;1;1;1;1;0;0;-18736,76375539;-2,84140646457672;
14,15;14,15;1;1;1;1;0;0;-18739,4423880637;-2,85621374845505;
14,2;14,2;1;1;1;1;0;0;-18742,1192325981;-2,8705957531929;
14,25;14,25;1;1;1;1;0;0;-18744,7978652718;-2,88443207740784;
14,3;14,3;1;1;1;1;0;0;-18747,4764979455;-2,89857536554337;
14,35;14,35;1;1;1;1;0;0;-18750,1533424799;-2,91220784187317;
14,4;14,4;1;1;1;1;0;0;-18752,8319751536;-2,92638570070267;
14,45;14,45;1;1;1;1;0;0;-18755,508819688;-2,94110029935837;
14,5;14,5;1;1;1;1;0;0;-18757,9657230884;-2,95477211475372;
14,55;14,55;1;1;1;1;0;0;-18760,1973209367;-2,96941310167313;
14,6;14,6;1;1;1;1;0;0;-18762,428918785;-2,98300206661224;
14,65;14,65;1;1;1;1;0;0;-18764,6605166333;-2,9972243309021;
14,7;14,7;1;1;1;1;0;0;-18766,9278772677;-3,01122426986694;
14,75;14,75;1;1;1;1;0;0;-18769,6065099414;-3,02528411149979;
14,8;14,8;1;1;1;1;0;0;-18772,2833544758;-3,03986549377441;
14,85;14,85;1;1;1;1;0;0;-18774,9619871495;-3,0539271235466;
14,9;14,9;1;1;1;1;0;0;-18777,6406198232;-3,06820154190063;
14,95;14,95;1;1;1;1;0;0;-18780,1350741488;-3,08211386203766;
15;15;1;1;1;1;0;0;-18782,3666719971;-3,09664487838745;
15,05;15,05;1;1;1;1;0;0;-18784,5982698455;-3,10710817575455;
15,1;15,1;1;1;1;1;0;0;-18786,8298676938;-3,11040133237839;
15,15;15,15;1;1;1;1;0;0;-18787,8258612847;-3,11341941356659;
15,2;15,2;1;1;1;1;0;0;-18788,2728961101;-3,11532735824585;
15,25;15,25;1;1;2;1;0;0;-18788,6001256023;-3,11491400003433;
15,25;15,25;1;1;2;1;0;0;-18788,6001256023;-3,11491400003433;
15,3;15,3;1;1;2;1;0;0;-18788,6001256023;-3,11388075351715;
15,35;15,35;1;1;2;1;0;0;-18788,6001256023;-3,11349809169769;
15,4;15,4;1;1;2;1;0;0;-18788,6001256023;-3,11253130435944;
15,45;15,45;1;1;2;1;0;0;-18788,6001256023;-3,11150848865509;
15,5;15,5;1;1;2;1;0;0;-18788,6001256023;-3,11061918735504;
15,55;15,55;1;1;2;1;0;0;-18788,6001256023;-3,10976058244705;
15,6;15,6;1;1;2;1;0;0;-18788,6001256023;-3,1087738275528;
15,65;15,65;1;1;2;1;0;0;-18788,6001256023;-3,10817867517471;
15,7;15,7;1;1;2;1;0;0;-18788,6001256023;-3,10735017061234;
15,75;15,75;1;1;2;1;0;0;-18788,6001256023;-3,1063637137413;
