"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
8,4;8,4;1;1;1;1;0;0;-14898,6488084585;-0,36514438688755;
8,45;8,45;1;1;1;1;0;0;-14898,6488084585;-0,36750040948391;
8,5;8,5;1;1;1;1;0;0;-14898,6488084585;-0,370849370956421;
8,55;8,55;1;1;1;1;0;0;-14898,6488084585;-0,372522138059139;
8,6;8,6;1;1;1;1;0;0;-14898,6488084585;-0,374494679272175;
8,65;8,65;1;1;1;1;0;0;-14898,6497025281;-0,376656465232372;
8,7;8,7;1;1;1;1;0;0;-14899,0815381694;-0,379070565104485;
8,75;8,75;1;1;1;1;0;0;-14899,5276789252;-0,381225533783436;
8,8;8,8;1;1;1;1;0;0;-14899,9738196809;-0,383155234158039;
8,85;8,85;1;1;1;1;0;0;-14900,4199604366;-0,385481119155884;
8,9;8,9;1;1;1;1;0;0;-14900,8661011924;-0,387810952961445;
8,95;8,95;1;1;1;1;0;0;-14901,3131360177;-0,391294918954372;
9;9;1;1;1;1;0;0;-14901,7592767735;-0,393190458416939;
9,05;9,05;1;1;1;1;0;0;-14902,2054175292;-0,3953892365098;
9,1;9,1;1;1;1;1;0;0;-14902,6515582849;-0,396838672459126;
9,15;9,15;1;1;1;1;0;0;-14903,0976990407;-0,39950605481863;
9,2;9,2;1;1;1;1;0;0;-14903,1781653092;-0,40140874683857;
9,25;9,25;1;1;1;1;0;0;-14903,1781653092;-0,404040738940239;
9,3;9,3;1;1;1;1;0;0;-14903,1781653092;-0,405910164117813;
9,35;9,35;1;1;1;1;0;0;-14903,1781653092;-0,408653728663921;
9,4;9,4;1;1;1;1;0;0;-14903,1781653092;-0,411576554179192;
9,45;9,45;1;1;1;1;0;0;-14903,1781653092;-0,413519367575645;
9,5;9,5;1;1;1;1;0;0;-14903,5527804929;-0,41563592851162;
9,55;9,55;1;1;1;1;0;0;-14903,9989212487;-0,417702123522758;
9,6;9,6;1;1;1;1;0;0;-14904,4450620044;-0,420206785202026;
9,65;9,65;1;1;1;1;0;0;-14904,8912027601;-0,422849841415882;
9,7;9,7;1;1;1;1;0;0;-14905,3373435159;-0,425696559250355;
9,75;9,75;1;1;1;1;0;0;-14905,7843783412;-0,427865795791149;
9,8;9,8;1;1;1;1;0;0;-14906,230519097;-0,429953970015049;
9,85;9,85;1;1;1;1;0;0;-14906,6766598527;-0,431887209415436;
9,9;9,9;1;1;1;1;0;0;-14907,1228006084;-0,433945544064045;
9,95;9,95;1;1;1;1;0;0;-14907,5689413642;-0,436598733067513;
10;10;1;1;1;1;0;0;-14907,7128865779;-0,438868850469589;
10,05;10,05;1;1;1;1;0;0;-14907,7128865779;-0,441577695310116;
10,1;10,1;1;1;1;1;0;0;-14907,7128865779;-0,443791933357716;
10,15;10,15;1;1;1;1;0;0;-14907,7128865779;-0,446748733520508;
10,2;10,2;1;1;1;1;0;0;-14907,7128865779;-0,44885691255331;
10,25;10,25;1;1;1;1;0;0;-14907,7128865779;-0,451143719255924;
10,3;10,3;1;1;1;1;0;0;-14908,1116416422;-0,453175418078899;
10,35;10,35;1;1;1;1;0;0;-14908,5586764676;-0,455371886491776;
10,4;10,4;1;1;1;1;0;0;-14909,0048172233;-0,458157919347286;
10,45;10,45;1;1;1;1;0;0;-14909,450957979;-0,460471473634243;
10,5;10,5;1;1;1;1;0;0;-14909,8970987348;-0,463317260146141;
10,55;10,55;1;1;1;1;0;0;-14910,3432394905;-0,465266071259975;
10,6;10,6;1;1;1;1;0;0;-14910,7902743159;-0,468076542019844;
10,65;10,65;1;1;1;1;0;0;-14911,2364150716;-0,470423325896263;
10,7;10,7;1;1;1;1;0;0;-14911,6825558274;-0,472416207194328;
10,75;10,75;1;1;1;1;0;0;-14912,1286965831;-0,474134162068367;
10,8;10,8;1;1;1;1;0;0;-14912,3173452794;-0,476770028471947;
10,85;10,85;1;1;1;1;0;0;-14912,3173452794;-0,479230806231499;
10,9;10,9;1;1;1;1;0;0;-14912,3173452794;-0,481854565441608;
10,95;10,95;1;1;1;1;0;0;-14912,3173452794;-0,484125390648842;
11;11;1;1;1;1;0;0;-14912,3173452794;-0,487216599285603;
11,05;11,05;1;1;1;1;0;0;-14912,3173452794;-0,489877909421921;
11,1;11,1;1;1;1;1;0;0;-14912,5417567618;-0,492294952273369;
11,15;11,15;1;1;1;1;0;0;-14912,9887915871;-0,494869388639927;
11,2;11,2;1;1;1;1;0;0;-14913,4349323429;-0,496803186833858;
11,25;11,25;1;1;1;1;0;0;-14913,8810730986;-0,4983951151371;
11,3;11,3;1;1;1;1;0;0;-14914,3272138543;-0,500598549842834;
11,35;11,35;1;1;1;1;0;0;-14914,7733546101;-0,50295814871788;
11,4;11,4;1;1;1;1;0;0;-14915,2203894355;-0,505678243935108;
11,45;11,45;1;1;1;1;0;0;-14915,6665301912;-0,508137717843056;
11,5;11,5;1;1;1;1;0;0;-14916,1126709469;-0,510999523103237;
11,55;11,55;1;1;1;1;0;0;-14916,5588117027;-0,513770394027233;
11,6;11,6;1;1;1;1;0;0;-14916,9808125778;-0,516004078090191;
11,65;11,65;1;1;1;1;0;0;-14916,9808125778;-0,518178157508373;
11,7;11,7;1;1;1;1;0;0;-14916,9808125778;-0,52038662135601;
11,75;11,75;1;1;1;1;0;0;-14916,9808125778;-0,523151084780693;
11,8;11,8;1;1;1;1;0;0;-14916,9808125778;-0,525327622890472;
11,85;11,85;1;1;1;1;0;0;-14916,9808125778;-0,527701489627361;
11,9;11,9;1;1;1;1;0;0;-14916,9808125778;-0,529957264661789;
11,95;11,95;1;1;1;1;0;0;-14917,3581099704;-0,532856434583664;
12;12;1;1;1;1;0;0;-14917,8042507262;-0,534797236323357;
12,05;12,05;1;1;1;1;0;0;-14918,2503914819;-0,537397637963295;
12,1;12,1;1;1;1;1;0;0;-14918,6965322376;-0,539958402514458;
12,15;12,15;1;1;1;1;0;0;-14919,143567063;-0,542546138167381;
12,2;12,2;1;1;1;1;0;0;-14919,5897078188;-0,546040795743465;
12,25;12,25;1;1;1;1;0;0;-14920,0358485745;-0,54789911955595;
12,3;12,3;1;1;1;1;0;0;-14920,4819893302;-0,549507103860378;
12,35;12,35;1;1;1;1;0;0;-14920,928130086;-0,552484318614006;
12,4;12,4;1;1;1;1;0;0;-14921,3751649114;-0,554950013756752;
12,45;12,45;1;1;1;1;0;0;-14921,8213056671;-0,557275824248791;
12,5;12,5;1;1;1;1;0;0;-14921,8454455477;-0,559426061809063;
12,55;12,55;1;1;1;1;0;0;-14921,8454455477;-0,561924129724503;
12,6;12,6;1;1;1;1;0;0;-14921,8454455477;-0,564733482897282;
12,65;12,65;1;1;1;1;0;0;-14921,8454455477;-0,566907823085785;
12,7;12,7;1;1;1;1;0;0;-14921,8454455477;-0,569199621677399;
